field_name,physical_meaning,required_for_level5,required_for_continuity_residual,required_for_momentum_residual,required_for_mass_balance_diagnostic,acceptable_variable_names,expected_units,expected_shape,expected_time_axis,expected_grid_alignment,source_model_examples,export_priority,can_be_missing_for_level4_proxy,missing_consequence,notes
water_depth_h,2D water depth above terrain or bed elevation for each exported hydrodynamic state.,true,true,true,true,h; depth; water_depth; flood_depth; flood; water_level_minus_bed,m or documented convertible depth unit,"dynamic raster h(t,y,x) or mesh/cell field with remapping metadata","explicit timestamps or timestep indices aligned to rainfall, velocity/flux, boundary, and source/sink fields","same grid as target flood arrays, or documented conservative remap from source mesh/cells",InfoWorks ICM 2D depth; MIKE+ 2D water depth; UrbanFlood24 full depth/flood arrays,P0,false,Blocks even depth-based target verification and blocks future SWE residual consideration.,Depth alone is insufficient for Level 5 but is a core state variable.
velocity_u_v,Horizontal velocity components in grid x and y directions.,true,false,true,false,u; v; velocity_x; velocity_y; vel_x; vel_y; Vx; Vy,m/s with documented axis and sign convention,"u(t,y,x) and v(t,y,x), or mesh/cell components with remapping metadata","same hydrodynamic output times as h, or documented interpolation relationship","aligned to h; state whether cell-centered, node-centered, face-centered, or mesh-based",InfoWorks ICM velocity vector exports; MIKE+ velocity components,P0,true,Blocks momentum residuals and full hydrodynamic state closure; depth-only work remains Level 4 proxy.,Flux qx/qy may substitute for some continuity-style reviews but does not remove the need for transport fields.
flux_qx_qy,"Specific discharge, flow per unit width, or discharge/flux components across the grid.",true,true,true,true,qx; qy; flux_x; flux_y; discharge_x; discharge_y; flow_x; flow_y; momentum_x; momentum_y,"m2/s, m3/s, discharge per width, or documented equivalent with conversion notes","qx(t,y,x) and qy(t,y,x), face fields, link fields, or mesh fields with geometry metadata",aligned to h time axis and output cadence,aligned to h or mapped to cell faces/centers with orientation and sign convention,InfoWorks ICM flow/discharge exports; MIKE+ flux/discharge results,P0,true,Blocks continuity residual and mass-balance closure unless velocity plus depth and geometry can form flux.,"If both u/v and qx/qy exist, export both with conversion relationship."
dx_dy_grid_spacing,Physical spacing or mesh geometry needed for spatial derivatives and cell areas.,true,true,true,true,dx; dy; cell_size; grid_spacing; resolution; pixel_size; mesh_geometry; cell_area,m or projected-coordinate units convertible to m,"scalar dx/dy for uniform raster, per-cell arrays, or mesh geometry tables",static unless the source grid changes; versioned with scenario/export metadata,"must define x/y orientation, origin, row/column order, and any mesh-to-raster mapping",ICM 2D mesh/cell geometry; MIKE+ mesh geometry; UrbanFlood24 grid metadata,P0,true,"Blocks physical derivatives, volume conversion, and residual scaling.",Matching array shape is not enough; physical spacing and units must be explicit.
dt_time_step,Physical timestep or output interval between hydrodynamic states.,true,true,true,true,dt; timestep; time_step; output_interval; temporal_resolution; cadence,"seconds, minutes, hours, or documented convertible temporal unit","scalar for regular cadence, or vector dt(t) for irregular output","explicit timestamps, timestep indices, start/end time, and cadence for all dynamic fields","not spatial, but must align every dynamic field and scenario horizon",ICM result timestep; MIKE+ output timestep; UrbanFlood24 temporal metadata,P0,true,Blocks temporal derivatives and physical source/rainfall rate conversion.,File ordering alone is not acceptable evidence of physical dt.
DEM_or_bed_elevation,"Terrain, bed, or ground elevation used to compute water surface and slope terms.",true,false,true,false,DEM; dem; bed_elevation; terrain; ground_elevation; z; zb; static_elevation,m with vertical datum or documented convertible elevation unit,"static raster z(y,x), per-cell mesh field, or aligned static map",static for each scenario unless terrain changes are modeled,same grid as h or remapped with documented interpolation/rasterization,ICM ground model; MIKE+ bathymetry/terrain; UrbanFlood24 static maps,P0,true,Blocks bed-slope and momentum residual terms and weakens terrain-aware diagnostics.,"Record vertical datum, nodata, and whether values are bed, ground, or DEM proxies."
rainfall_source,Precipitation forcing supplied to the hydrodynamic model or dataset scenario.,true,true,false,true,rainfall; rain; precipitation; precip; rainfall_rate; rain_intensity,"mm/interval, mm/h, m/s, or documented forcing convention","rain(t,y,x), rain(t), rain(event,t), or source polygons with remapping metadata",interval start/end times aligned to h and dt,"aligned to h grid, or documented spatial distribution/remapping from gauges or polygons",ICM rainfall hyetographs/spatial rainfall; MIKE+ rainfall boundary/source; UrbanFlood24 rainfall.npy,P0,false,Blocks continuity source term and mass-balance forcing review.,Distinguish instantaneous rates from accumulated interval depths.
boundary_conditions,"Open, wall, inflow, outflow, stage, water-level, rating-curve, or control boundary definitions and values.",true,true,true,true,boundary; inflow; outflow; stage; water_level; open_boundary; rating_curve; upstream; downstream,"stage/depth in m, discharge in m3/s, velocity in m/s, flux in m2/s, or typed boundary metadata",boundary table plus time series; boundary raster/mask; face/link/node values over time,time-varying values aligned to h if dynamic; fixed values marked explicitly,"boundary locations mapped to cells, faces, links, nodes, or masks on the h grid",ICM 2D/1D boundary definitions; MIKE+ boundary conditions,P0,true,Blocks treatment of open boundaries and can invalidate residual or mass-balance interpretation.,Boundary values must not be silently inferred from interior cells.
source_sink_terms,"Non-rainfall source/sink terms such as infiltration, drainage, sewer exchange, lateral inflow, evaporation, abstraction, or storage exchange.",true,true,false,true,source; sink; infiltration; drainage; sewer; outfall; inlet; lateral_flow; evaporation; abstraction,"m/s, mm/interval, m3/s, cell-normalized discharge, or documented model convention","time-varying raster, point/link table, source polygon table, or documented zero/closure metadata","aligned to h, rainfall, and boundary time axis","mapped to cells, faces, links, nodes, or source polygons with sign convention",ICM sewer/drainage/outfall exchange; MIKE+ source/sink and network exchange outputs,P0,true,Blocks complete continuity closure and full mass-balance claims.,Missing terms may be treated as zero only with explicit source-model documentation.
pump_gate_operations,"Controlled infrastructure states, openings, rule states, and flows.",true,true,true,true,pump; gate; sluice; valve; control; operation; opening; pump_flow; gate_flow,"state/category, opening fraction, m, m3/s, or documented control schedule units",operation time series by asset plus mapped asset location or affected links/cells,aligned to scenario time axis and source/sink or boundary series,"asset locations mapped to nodes, links, cells, faces, or boundary/source terms",ICM pump/gate controls; MIKE+ structures and control rules,P1,true,Blocks closure wherever controlled assets affect flows; absence must be documented if not represented.,Required when the source hydrodynamic model contains controlled infrastructure.
