category,search_term,matches_found,candidate_paths,evidence_type,usable_for_readiness,notes
velocity_or_flux_fields,u,12,README.md; docs/README_stage2a.md; docs/manuscript_draft_reliability_aware_urban_flood_warning.md; docs/manuscript_evidence_figure_table_alignment.md; docs/manuscript_full_draft_reliability_aware_urban_flood_warning.md; docs/manuscript_structure_and_submission_consolidation.md; docs/phase12_reliability_applicability_plan.md; docs/phase13_failure_case_visual_summary_plan.md; docs/phase14_uncertainty_confidence_diagnostics_plan.md; docs/phase27_conservative_volume_response_consistency_plan.md; docs/phase41_swe_data_readiness_audit_plan.md; models/unet_tcn.py,code_or_script; documentation_or_report,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
velocity_or_flux_fields,v,4,datasets/urbanflood24_lite_adapter.py; docs/phase27_conservative_volume_response_consistency_plan.md; docs/phase29_tolerance_band_volume_consistency_plan.md; docs/phase41_swe_data_readiness_audit_plan.md,code_or_script; documentation_or_report,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
velocity_or_flux_fields,velocity_x,0,,,no,"Documentation mentions are treated as context only, not aligned data evidence."
velocity_or_flux_fields,velocity_y,0,,,no,"Documentation mentions are treated as context only, not aligned data evidence."
velocity_or_flux_fields,vel_x,0,,,no,"Documentation mentions are treated as context only, not aligned data evidence."
velocity_or_flux_fields,vel_y,0,,,no,"Documentation mentions are treated as context only, not aligned data evidence."
velocity_or_flux_fields,qx,1,docs/phase41_swe_data_readiness_audit_plan.md,documentation_or_report,no,"Documentation mentions are treated as context only, not aligned data evidence."
velocity_or_flux_fields,qy,1,docs/phase41_swe_data_readiness_audit_plan.md,documentation_or_report,no,"Documentation mentions are treated as context only, not aligned data evidence."
velocity_or_flux_fields,flux_x,0,,,no,"Documentation mentions are treated as context only, not aligned data evidence."
velocity_or_flux_fields,flux_y,0,,,no,"Documentation mentions are treated as context only, not aligned data evidence."
velocity_or_flux_fields,discharge,11,analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.json; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; docs/phase24_physical_consistency_deepening_findings.md; docs/phase26_strong_physics_constraint_feasibility_findings.md; docs/phase26_strong_physics_constraint_feasibility_plan.md; docs/phase30_strong_physics_boundary_synthesis_plan.md; docs/phase31_physics_input_recovery_readiness_findings.md; docs/phase31_physics_input_recovery_readiness_plan.md; docs/phase41_swe_data_readiness_audit_plan.md,documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
velocity_or_flux_fields,flow,33,README.md; analysis/phase26_strong_physics_constraint_feasibility/conservation_residual_summary.md; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.json; analysis/phase26_strong_physics_constraint_feasibility/physics_input_audit.md; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.json; analysis/phase31_physics_input_recovery_readiness/physics_input_inventory.md; analysis/phase31_physics_input_recovery_readiness/static_map_inspection_summary.json; docs/manuscript_draft_reliability_aware_urban_flood_warning.md; docs/manuscript_evidence_figure_table_alignment.md; docs/manuscript_full_draft_reliability_aware_urban_flood_warning.md; docs/manuscript_structure_and_submission_consolidation.md; docs/phase16_reliability_warning_applicability_findings.md; docs/phase16_reliability_warning_applicability_plan.md; docs/phase17_reliability_warning_framework_synthesis.md; docs/phase19_manuscript_structure_consolidation_plan.md; docs/phase21_manuscript_evidence_figure_alignment_plan.md; docs/phase23_reliability_warning_case_study_findings.md; docs/phase23_reliability_warning_case_study_plan.md; docs/phase25_physics_consistency_guided_refinement_plan.md; docs/phase25_target_wet_recall_implementation_note.md; docs/phase25_three_seed_target_wet_recall_synthesis_findings.md; docs/phase26_strong_physics_constraint_feasibility_findings.md; docs/phase26_strong_physics_constraint_feasibility_plan.md; docs/phase30_strong_physics_boundary_synthesis.md; docs/phase30_strong_physics_boundary_synthesis_plan.md; docs/phase31_physics_input_recovery_readiness_findings.md; docs/phase31_physics_input_recovery_readiness_plan.md; docs/phase32_domain_boundary_aware_design.md; docs/phase32_domain_boundary_aware_physical_consistency_findings.md; docs/phase32_domain_boundary_aware_physical_consistency_plan.md,code_or_script; documentation_or_report; json_or_config,candidate_only; no,"Documentation mentions are treated as context only, not aligned data evidence."
