check_id,check_item,inspection_requirement,expected_evidence,training_allowed,level5_claim_allowed,notes
UF24-01,file tree scan,"List full dataset files, folders, extensions, sizes, and scenario grouping without training.","file path(s), metadata excerpt summary, shape/unit/time/grid evidence, and present/absent/uncertain status",false,false,Checklist item only; no dataset inspection is performed by Phase 42.
UF24-02,search for velocity / flux / qx / qy / u / v / discharge,"Search names, metadata, tables, and arrays for transport-state variables.","file path(s), metadata excerpt summary, shape/unit/time/grid evidence, and present/absent/uncertain status",false,false,Checklist item only; no dataset inspection is performed by Phase 42.
UF24-03,search for dx/dy/dt metadata,Find explicit physical grid spacing and timestep cadence with units.,"file path(s), metadata excerpt summary, shape/unit/time/grid evidence, and present/absent/uncertain status",false,false,Checklist item only; no dataset inspection is performed by Phase 42.
UF24-04,search for boundary / inflow / outflow / stage / water_level,"Identify boundary definitions, locations, and time-varying values.","file path(s), metadata excerpt summary, shape/unit/time/grid evidence, and present/absent/uncertain status",false,false,Checklist item only; no dataset inspection is performed by Phase 42.
UF24-05,search for pump/gate/source/sink metadata,Identify controlled structures and non-rain source/sink terms or documented absences.,"file path(s), metadata excerpt summary, shape/unit/time/grid evidence, and present/absent/uncertain status",false,false,Checklist item only; no dataset inspection is performed by Phase 42.
UF24-06,verify flood.npy/rainfall.npy/static maps shape,"Record shape, dtype, axis order, and scenario linkage for known arrays.","file path(s), metadata excerpt summary, shape/unit/time/grid evidence, and present/absent/uncertain status",false,false,Checklist item only; no dataset inspection is performed by Phase 42.
UF24-07,verify 500x500 or other full-resolution shapes if present,Record whether full-resolution arrays differ from lite 128x128 products.,"file path(s), metadata excerpt summary, shape/unit/time/grid evidence, and present/absent/uncertain status",false,false,Checklist item only; no dataset inspection is performed by Phase 42.
UF24-08,verify 1-minute or other time interval metadata if present,"Record cadence, output interval, timestamps, spin-up, and warm-up handling.","file path(s), metadata excerpt summary, shape/unit/time/grid evidence, and present/absent/uncertain status",false,false,Checklist item only; no dataset inspection is performed by Phase 42.
UF24-09,record whether full dataset is still depth/rainfall/static-only,"State if full export lacks velocity/flux, boundary, and source/sink fields.","file path(s), metadata excerpt summary, shape/unit/time/grid evidence, and present/absent/uncertain status",false,false,Checklist item only; no dataset inspection is performed by Phase 42.
UF24-10,record whether Level 5 variables are actually present,Record present/absent/uncertain for each minimum contract item without claiming Level 5 support.,"file path(s), metadata excerpt summary, shape/unit/time/grid evidence, and present/absent/uncertain status",false,false,Checklist item only; no dataset inspection is performed by Phase 42.
