contract_item,field_category,minimum_requirement,required_evidence,allowed_absence_condition,level5_blocking_if_absent,interpretation
MC01,water_depth_h,"aligned h(t,y,x)",Depth or documented equivalent must be aligned to the target grid/time axis.,none for minimum contract unless source documentation proves a physically valid closure,true,Required before any future SWE residual prototype can be considered; this does not authorize implementation.
MC02,velocity_u_v_or_flux_qx_qy,either u/v or qx/qy aligned to h,At least one transport representation must align to h with units and sign convention.,none for minimum contract unless source documentation proves a physically valid closure,true,Required before any future SWE residual prototype can be considered; this does not authorize implementation.
MC03,dx_dy_grid_spacing,dx/dy with physical units,"Physical grid spacing, cell areas, or mesh geometry must be explicit.",none for minimum contract unless source documentation proves a physically valid closure,true,Required before any future SWE residual prototype can be considered; this does not authorize implementation.
MC04,dt_time_step,dt with physical units,Regular or irregular timestep duration must be explicit and aligned to all dynamic fields.,none for minimum contract unless source documentation proves a physically valid closure,true,Required before any future SWE residual prototype can be considered; this does not authorize implementation.
MC05,DEM_or_bed_elevation,DEM or bed elevation aligned to h,Terrain/bed elevation must align to the hydrodynamic state grid or include remapping metadata.,none for minimum contract unless source documentation proves a physically valid closure,true,Required before any future SWE residual prototype can be considered; this does not authorize implementation.
MC06,rainfall_source,rainfall source aligned to h time axis,Rainfall rates or interval accumulations must be aligned to h and dt.,none for minimum contract unless source documentation proves a physically valid closure,true,Required before any future SWE residual prototype can be considered; this does not authorize implementation.
MC07,boundary_conditions,boundary mask and boundary values / boundary conditions,"Boundary locations, types, values, units, and time series must be documented.",none for minimum contract unless source documentation proves a physically valid closure,true,Required before any future SWE residual prototype can be considered; this does not authorize implementation.
MC08,source_sink_terms,complete source/sink documentation,All non-rain source/sink terms must be exported or explicitly closed by documentation.,none for minimum contract unless source documentation proves a physically valid closure,true,Required before any future SWE residual prototype can be considered; this does not authorize implementation.
MC09,valid_domain_mask,valid-domain mask,A mask must identify cells/elements where states and diagnostics are valid.,none for minimum contract unless source documentation proves a physically valid closure,true,Required before any future SWE residual prototype can be considered; this does not authorize implementation.
MC10,scenario_metadata_and_units,scenario metadata and units,Scenario/event metadata plus units/scaling/sign/nodata conventions must be complete.,none for minimum contract unless source documentation proves a physically valid closure,true,Required before any future SWE residual prototype can be considered; this does not authorize implementation.
