field_name,expected_units,expected_shape,expected_time_axis,expected_grid_alignment,metadata_required,conversion_notes
water_depth_h,m or documented convertible depth unit,"dynamic raster h(t,y,x) or mesh/cell field with remapping metadata","explicit timestamps or timestep indices aligned to rainfall, velocity/flux, boundary, and source/sink fields","same grid as target flood arrays, or documented conservative remap from source mesh/cells",units; shape; axis order; nodata; source file/table; scenario id; conversion notes,Convert to SI-compatible units before any future residual feasibility review; record original source units and sign conventions.
velocity_u_v,m/s with documented axis and sign convention,"u(t,y,x) and v(t,y,x), or mesh/cell components with remapping metadata","same hydrodynamic output times as h, or documented interpolation relationship","aligned to h; state whether cell-centered, node-centered, face-centered, or mesh-based",units; shape; axis order; nodata; source file/table; scenario id; conversion notes,Convert to SI-compatible units before any future residual feasibility review; record original source units and sign conventions.
flux_qx_qy,"m2/s, m3/s, discharge per width, or documented equivalent with conversion notes","qx(t,y,x) and qy(t,y,x), face fields, link fields, or mesh fields with geometry metadata",aligned to h time axis and output cadence,aligned to h or mapped to cell faces/centers with orientation and sign convention,units; shape; axis order; nodata; source file/table; scenario id; conversion notes,Convert to SI-compatible units before any future residual feasibility review; record original source units and sign conventions.
dx_dy_grid_spacing,m or projected-coordinate units convertible to m,"scalar dx/dy for uniform raster, per-cell arrays, or mesh geometry tables",static unless the source grid changes; versioned with scenario/export metadata,"must define x/y orientation, origin, row/column order, and any mesh-to-raster mapping",units; shape; axis order; nodata; source file/table; scenario id; conversion notes,Convert to SI-compatible units before any future residual feasibility review; record original source units and sign conventions.
dt_time_step,"seconds, minutes, hours, or documented convertible temporal unit","scalar for regular cadence, or vector dt(t) for irregular output","explicit timestamps, timestep indices, start/end time, and cadence for all dynamic fields","not spatial, but must align every dynamic field and scenario horizon",units; shape; axis order; nodata; source file/table; scenario id; conversion notes,Convert to SI-compatible units before any future residual feasibility review; record original source units and sign conventions.
DEM_or_bed_elevation,m with vertical datum or documented convertible elevation unit,"static raster z(y,x), per-cell mesh field, or aligned static map",static for each scenario unless terrain changes are modeled,same grid as h or remapped with documented interpolation/rasterization,units; shape; axis order; nodata; source file/table; scenario id; conversion notes,Convert to SI-compatible units before any future residual feasibility review; record original source units and sign conventions.
rainfall_source,"mm/interval, mm/h, m/s, or documented forcing convention","rain(t,y,x), rain(t), rain(event,t), or source polygons with remapping metadata",interval start/end times aligned to h and dt,"aligned to h grid, or documented spatial distribution/remapping from gauges or polygons",units; shape; axis order; nodata; source file/table; scenario id; conversion notes,Convert to SI-compatible units before any future residual feasibility review; record original source units and sign conventions.
boundary_conditions,"stage/depth in m, discharge in m3/s, velocity in m/s, flux in m2/s, or typed boundary metadata",boundary table plus time series; boundary raster/mask; face/link/node values over time,time-varying values aligned to h if dynamic; fixed values marked explicitly,"boundary locations mapped to cells, faces, links, nodes, or masks on the h grid",units; shape; axis order; nodata; source file/table; scenario id; conversion notes,Convert to SI-compatible units before any future residual feasibility review; record original source units and sign conventions.
source_sink_terms,"m/s, mm/interval, m3/s, cell-normalized discharge, or documented model convention","time-varying raster, point/link table, source polygon table, or documented zero/closure metadata","aligned to h, rainfall, and boundary time axis","mapped to cells, faces, links, nodes, or source polygons with sign convention",units; shape; axis order; nodata; source file/table; scenario id; conversion notes,Convert to SI-compatible units before any future residual feasibility review; record original source units and sign conventions.
pump_gate_operations,"state/category, opening fraction, m, m3/s, or documented control schedule units",operation time series by asset plus mapped asset location or affected links/cells,aligned to scenario time axis and source/sink or boundary series,"asset locations mapped to nodes, links, cells, faces, or boundary/source terms",units; shape; axis order; nodata; source file/table; scenario id; conversion notes,Convert to SI-compatible units before any future residual feasibility review; record original source units and sign conventions.
valid_domain_mask,"boolean, integer, or categorical encoding with documented meaning","mask(y,x), mask(t,y,x) if active domain changes, or mesh/cell mask",static or dynamic status explicitly documented,same grid/elements as h and all diagnostic fields,units; shape; axis order; nodata; source file/table; scenario id; conversion notes,Convert to SI-compatible units before any future residual feasibility review; record original source units and sign conventions.
boundary_mask,"boolean, integer, or categorical encoding by boundary type","mask(y,x), face mask, link/node table, or mesh boundary element table",static unless boundary types or active boundaries change by scenario/time,aligned to h plus boundary-condition locations and values,units; shape; axis order; nodata; source file/table; scenario id; conversion notes,Convert to SI-compatible units before any future residual feasibility review; record original source units and sign conventions.
coordinate_reference_or_grid_metadata,"CRS identifier plus projected coordinate units, or full local-coordinate definition","metadata object, affine transform, coordinate vectors, or mesh geometry tables",static per scenario/export unless moving mesh is used,defines relation between source hydrodynamic export and repository flood/rain/static arrays,units; shape; axis order; nodata; source file/table; scenario id; conversion notes,Convert to SI-compatible units before any future residual feasibility review; record original source units and sign conventions.
units_and_scaling,metadata for each exported variable,metadata table keyed by variable/file/field,versioned with export; time-varying units are not acceptable without explicit conversion,applies consistently across aligned fields and remapped products,units; shape; axis order; nodata; source file/table; scenario id; conversion notes,Convert to SI-compatible units before any future residual feasibility review; record original source units and sign conventions.
scenario_metadata,metadata identifiers and documented parameter units where applicable,metadata table keyed by scenario/event/file group,links all dynamic fields belonging to the same event and horizon,"links each scenario to the grid/mesh, static maps, rainfall, boundaries, and source/sink exports",units; shape; axis order; nodata; source file/table; scenario id; conversion notes,Convert to SI-compatible units before any future residual feasibility review; record original source units and sign conventions.
time_axis_metadata,"ISO timestamps, seconds since reference, minutes since event start, or documented equivalent",time vector or metadata table for every dynamic field,"single reconciled axis for h, u/v or qx/qy, rainfall, boundaries, sources/sinks, and controls","not spatial, but must map each time slice to the correct scenario/grid fields",units; shape; axis order; nodata; source file/table; scenario id; conversion notes,Convert to SI-compatible units before any future residual feasibility review; record original source units and sign conventions.
