field,status,evidence_type,evidence_paths,level5_required,level4_proxy_support,sufficient_for_level5,notes
water_depth_h,present,direct_array,train/flood/location1/G1135_intensity_117/flood.npy; train/flood/location1/G1135_intensity_155/flood.npy; train/flood/location1/G1135_intensity_156/flood.npy; train/flood/location2/G1135_intensity_117/flood.npy; train/flood/location2/G1135_intensity_155/flood.npy; train/flood/location2/G1135_intensity_156/flood.npy; train/flood/location3/G1135_intensity_117/flood.npy; train/flood/location3/G1135_intensity_155/flood.npy; train/flood/location3/G1135_intensity_156/flood.npy; test/flood/location1/G1135_intensity_103/flood.npy; test/flood/location1/G1135_intensity_161/flood.npy; test/flood/location1/G1166_intensity_246/flood.npy; test/flood/location2/G1135_intensity_103/flood.npy; test/flood/location2/G1135_intensity_161/flood.npy; test/flood/location2/G1166_intensity_246/flood.npy; test/flood/location3/G1135_intensity_103/flood.npy; test/flood/location3/G1135_intensity_161/flood.npy; test/flood/location3/G1166_intensity_246/flood.npy,true,true,true,flood.npy is treated conservatively as water-depth/flood-state evidence only.
velocity_u_v,absent,missing,,true,false,false,Only explicit velocity/u/v files or fields would satisfy this field; path keywords alone are not sufficient.
flux_qx_qy,absent,missing,,true,false,false,Only explicit qx/qy/flux/discharge arrays or metadata would satisfy this field.
dx_dy_grid_spacing,absent,missing,,true,false,false,Shape compatibility is not physical dx/dy. This is not present without explicit local grid-spacing metadata.
dt_time_step,uncertain,inferred_from_shape_or_known_dataset,train/flood/location1/G1135_intensity_117/flood.npy; train/flood/location1/G1135_intensity_117/rainfall.npy; train/flood/location1/G1135_intensity_155/flood.npy; train/flood/location1/G1135_intensity_155/rainfall.npy; train/flood/location1/G1135_intensity_156/flood.npy; train/flood/location1/G1135_intensity_156/rainfall.npy; train/flood/location2/G1135_intensity_117/flood.npy; train/flood/location2/G1135_intensity_117/rainfall.npy; train/flood/location2/G1135_intensity_155/flood.npy; train/flood/location2/G1135_intensity_155/rainfall.npy; train/flood/location2/G1135_intensity_156/flood.npy; train/flood/location2/G1135_intensity_156/rainfall.npy; train/flood/location3/G1135_intensity_117/flood.npy; train/flood/location3/G1135_intensity_117/rainfall.npy; train/flood/location3/G1135_intensity_155/flood.npy; train/flood/location3/G1135_intensity_155/rainfall.npy; train/flood/location3/G1135_intensity_156/flood.npy; train/flood/location3/G1135_intensity_156/rainfall.npy; test/flood/location1/G1135_intensity_103/flood.npy; test/flood/location1/G1135_intensity_103/rainfall.npy; test/flood/location1/G1135_intensity_161/flood.npy; test/flood/location1/G1135_intensity_161/rainfall.npy; test/flood/location1/G1166_intensity_246/flood.npy; test/flood/location1/G1166_intensity_246/rainfall.npy; test/flood/location2/G1135_intensity_103/flood.npy; test/flood/location2/G1135_intensity_103/rainfall.npy; test/flood/location2/G1135_intensity_161/flood.npy; test/flood/location2/G1135_intensity_161/rainfall.npy; test/flood/location2/G1166_intensity_246/flood.npy; test/flood/location2/G1166_intensity_246/rainfall.npy,true,true,false,Flood/rainfall lengths indicate sequence axes but do not establish physical dt.
DEM_or_bed_elevation,present,direct_array,train/geodata/location1/absolute_DEM.npy; train/geodata/location2/absolute_DEM.npy; train/geodata/location3/absolute_DEM.npy; test/geodata/location1/absolute_DEM.npy; test/geodata/location2/absolute_DEM.npy; test/geodata/location3/absolute_DEM.npy,true,true,true,absolute_DEM.npy supports terrain/bed-elevation proxy evidence; vertical units/datum remain a metadata concern.
rainfall_source,present,direct_array,train/flood/location1/G1135_intensity_117/rainfall.npy; train/flood/location1/G1135_intensity_155/rainfall.npy; train/flood/location1/G1135_intensity_156/rainfall.npy; train/flood/location2/G1135_intensity_117/rainfall.npy; train/flood/location2/G1135_intensity_155/rainfall.npy; train/flood/location2/G1135_intensity_156/rainfall.npy; train/flood/location3/G1135_intensity_117/rainfall.npy; train/flood/location3/G1135_intensity_155/rainfall.npy; train/flood/location3/G1135_intensity_156/rainfall.npy; test/flood/location1/G1135_intensity_103/rainfall.npy; test/flood/location1/G1135_intensity_161/rainfall.npy; test/flood/location1/G1166_intensity_246/rainfall.npy; test/flood/location2/G1135_intensity_103/rainfall.npy; test/flood/location2/G1135_intensity_161/rainfall.npy; test/flood/location2/G1166_intensity_246/rainfall.npy; test/flood/location3/G1135_intensity_103/rainfall.npy; test/flood/location3/G1135_intensity_161/rainfall.npy; test/flood/location3/G1166_intensity_246/rainfall.npy,true,true,true,"rainfall.npy supports rainfall forcing evidence, not complete source/sink closure."
boundary_conditions,absent,missing,,true,false,false,Boundary conditions require explicit boundary locations/types/values; no inference is made from grid edges.
source_sink_terms,uncertain,inferred_from_shape_or_known_dataset,train/geodata/location1/impervious.npy; train/geodata/location1/manhole.npy; train/geodata/location2/impervious.npy; train/geodata/location2/manhole.npy; train/geodata/location3/impervious.npy; train/geodata/location3/manhole.npy; test/geodata/location1/impervious.npy; test/geodata/location1/manhole.npy; test/geodata/location2/impervious.npy; test/geodata/location2/manhole.npy; test/geodata/location3/impervious.npy; test/geodata/location3/manhole.npy,true,true,false,"Rainfall, imperviousness, and manhole maps do not establish complete non-rain source/sink terms or closure."
pump_gate_operations,absent,missing,,true,false,false,"Pump/gate operations require explicit asset states, schedules, flows, or documented absence."
valid_domain_mask,absent,missing,,true,false,false,No explicit valid-domain mask is inferred from flood/static array extents.
boundary_mask,absent,missing,,true,false,false,A boundary mask is distinct from boundary-condition values and is not inferred from raster borders.
coordinate_reference_or_grid_metadata,absent,missing,,true,false,false,"CRS, projection, origin, orientation, and grid metadata must be explicit."
units_and_scaling,absent,missing,,true,false,false,"Units and scaling are not inferred from file names, shapes, or dtype."
scenario_metadata,uncertain,inferred_from_shape_or_known_dataset,test/flood/location1/G1135_intensity_103; test/flood/location1/G1135_intensity_161; test/flood/location1/G1166_intensity_246; test/flood/location1/G1166_intensity_394; test/flood/location1/G3501_intensity_151; test/flood/location1/G3531_intensity_128; test/flood/location1/r100y_p0.5_d3h; test/flood/location1/r100y_p0.8_d3h; test/flood/location1/r200y_p0.5_d3h; test/flood/location1/r200y_p0.7_d3h; test/flood/location1/r300y_p0.1_d3h; test/flood/location1/r300y_p0.5_d3h; test/flood/location1/r300y_p0.6_d3h; test/flood/location1/r300y_p0.8_d3h; test/flood/location1/r500y_p0.1_d3h; test/flood/location1/r500y_p0.3_d3h; test/flood/location2/G1135_intensity_103; test/flood/location2/G1135_intensity_161; test/flood/location2/G1166_intensity_246; test/flood/location2/G1166_intensity_394; test/flood/location2/G3501_intensity_151; test/flood/location2/G3531_intensity_128; test/flood/location2/r100y_p0.5_d3h; test/flood/location2/r100y_p0.8_d3h; test/flood/location2/r200y_p0.5_d3h; test/flood/location2/r200y_p0.7_d3h; test/flood/location2/r300y_p0.1_d3h; test/flood/location2/r300y_p0.5_d3h; test/flood/location2/r300y_p0.6_d3h; test/flood/location2/r300y_p0.8_d3h,true,true,false,"Scenario folder names provide partial event identifiers only, not complete machine-readable scenario metadata."
