check_id,check_name,status,evidence,required_for_authorization,blocker_if_failed,notes
phase36_config_exists,Phase 36 seed42 config exists,pass,configs/train_phase36_manhole_false_dry_guardrail_seed42_40e.json,true,true,Required seed42 config artifact is present.
phase36_config_loads,Phase 36 seed42 config loads as JSON,pass,configs/train_phase36_manhole_false_dry_guardrail_seed42_40e.json,true,true,JSON parsing must succeed before a later phase can run the reviewed config.
phase36_output_root_is_named,Phase 36 config output root is clearly named,pass,runs/phase36_manhole_false_dry_guardrail_seed42_40e,true,true,Output root must name the reviewed Phase 36 seed42 40e run.
loss_smoke_passed,Phase 36 loss smoke test passed,pass,analysis/phase36_manhole_false_dry_guardrail_code_smoke/smoke_test_summary.json,true,true,Phase 37 relies on the no-training Phase 36 smoke evidence.
guardrail_checker_dry_run_passed,Phase 36 guardrail checker dry-run passed,pass,analysis/phase36_manhole_false_dry_guardrail_code_smoke/guardrail_checker_dry_run.json,true,true,Dry-run must stage checks without claiming a training result.
acceptance_thresholds_available,Phase 34 acceptance thresholds are available,pass,"analysis/phase34_pilot_thresholds/acceptance_thresholds.csv; ids=['AT01', 'AT02', 'AT03', 'AT04', 'AT05', 'AT06', 'AT07', 'AT08', 'AT09', 'AT10', 'AT11', 'AT12', 'AT13', 'AT14']",true,true,AT01-AT14 must be available before training can be reviewed.
rejection_thresholds_available,Phase 34 rejection thresholds are available,pass,"analysis/phase34_pilot_thresholds/rejection_thresholds.csv; ids=['RT01', 'RT02', 'RT03', 'RT04', 'RT05', 'RT06', 'RT07', 'RT08', 'RT09']",true,true,RT01-RT09 must be available before training can be reviewed.
baseline_metrics_available,Phase 34 baseline metrics are available,pass,analysis/phase34_pilot_thresholds/baseline_metric_table.csv; rows=23,true,true,"Baseline table must contain Phase 25, Phase 27, and Phase 29 seed42 references."
AT01_available,AT01 target threshold is available,pass,AT01 in acceptance_thresholds.csv,true,true,AT01 is the targeted manhole-nonzero false-dry acceptance check.
RT01_available,RT01 hard rejection threshold is available,pass,RT01 in rejection_thresholds.csv,true,true,RT01 blocks the Phase 29 trade-off pattern.
seed42_only_scope,Scope remains seed42-only,pass,runtime.seed=42; Phase 37 plan/finding text reviewed,true,true,"Next phase authorization, if granted, is limited to the reviewed seed42 config."
seed123_seed202_blocked,seed123 and seed202 remain blocked,pass,Phase 37 plan/finding text and Phase 36 smoke execution flags reviewed,true,true,No seed123 or seed202 expansion may occur before seed42 passes.
sweeps_blocked,Sweeps remain blocked,pass,Phase 37 plan/finding text and Phase 36 smoke execution flags reviewed,true,true,No sweeps may occur before the reviewed seed42 config passes.
phase29_continuation_blocked,Phase 29 continuation remains blocked,pass,Phase 37 plan/finding text reviewed,true,true,This authorization review must not continue Phase 29.
level4_plus_scope_preserved,Level 4+ proxy scope is preserved,pass,Phase 37 plan/finding text reviewed,true,true,"No strict conservation, full mass conservation, SWE/PINN, or hydrodynamic closure claims are made."
post_training_guardrail_check_required,Post-training guardrail check is required,pass,Phase 37 plan reviewed,true,true,A later trained result must run evaluation and the Phase 36 guardrail checker.
training_command_documented_but_not_executed,Training command is documented but not executed,pass,python scripts/train_model.py --config configs/train_phase36_manhole_false_dry_guardrail_seed42_40e.json,true,true,Phase 37 may document the command under review but must not execute it.
training_not_executed_in_phase37,Training was not executed in Phase 37,pass,training_executed=False; seed42_run_executed=False; seed123_seed202_executed=False; sweep_executed=False,true,true,This diagnostic-only script must not train.
