priority,field_name,reason,recommended_source,inspection_or_request_action,notes
P0,water_depth_h,Blocks even depth-based target verification and blocks future SWE residual consideration.,UrbanFlood24 full dataset or ICM/MIKE+ 2D depth export,Inspect downloaded UrbanFlood24 full files first; request equivalent ICM/MIKE+ export if absent.,Depth alone is insufficient for Level 5 but is a core state variable.
P0,velocity_u_v,Blocks momentum residuals and full hydrodynamic state closure; depth-only work remains Level 4 proxy.,ICM/MIKE+ velocity exports; UrbanFlood24 full if available,Inspect downloaded UrbanFlood24 full files first; request equivalent ICM/MIKE+ export if absent.,Flux qx/qy may substitute for some continuity-style reviews but does not remove the need for transport fields.
P0,flux_qx_qy,Blocks continuity residual and mass-balance closure unless velocity plus depth and geometry can form flux.,ICM/MIKE+ flux/discharge exports; UrbanFlood24 full if available,Inspect downloaded UrbanFlood24 full files first; request equivalent ICM/MIKE+ export if absent.,"If both u/v and qx/qy exist, export both with conversion relationship."
P0,dx_dy_grid_spacing,"Blocks physical derivatives, volume conversion, and residual scaling.",Source grid/mesh metadata and dataset documentation,Inspect downloaded UrbanFlood24 full files first; request equivalent ICM/MIKE+ export if absent.,Matching array shape is not enough; physical spacing and units must be explicit.
P0,dt_time_step,Blocks temporal derivatives and physical source/rainfall rate conversion.,Source result metadata and dataset documentation,Inspect downloaded UrbanFlood24 full files first; request equivalent ICM/MIKE+ export if absent.,File ordering alone is not acceptable evidence of physical dt.
P0,DEM_or_bed_elevation,Blocks bed-slope and momentum residual terms and weakens terrain-aware diagnostics.,Source terrain/bed export and UrbanFlood24 static maps,Inspect downloaded UrbanFlood24 full files first; request equivalent ICM/MIKE+ export if absent.,"Record vertical datum, nodata, and whether values are bed, ground, or DEM proxies."
P0,rainfall_source,Blocks continuity source term and mass-balance forcing review.,Dataset rainfall arrays or source-model rainfall forcing,Inspect downloaded UrbanFlood24 full files first; request equivalent ICM/MIKE+ export if absent.,Distinguish instantaneous rates from accumulated interval depths.
P0,boundary_conditions,Blocks treatment of open boundaries and can invalidate residual or mass-balance interpretation.,ICM/MIKE+ boundary definitions and time series,Inspect downloaded UrbanFlood24 full files first; request equivalent ICM/MIKE+ export if absent.,Boundary values must not be silently inferred from interior cells.
P0,source_sink_terms,Blocks complete continuity closure and full mass-balance claims.,ICM/MIKE+ source/sink and network exchange exports,Inspect downloaded UrbanFlood24 full files first; request equivalent ICM/MIKE+ export if absent.,Missing terms may be treated as zero only with explicit source-model documentation.
P1,pump_gate_operations,Blocks closure wherever controlled assets affect flows; absence must be documented if not represented.,ICM/MIKE+ structures/control exports,Request or document during external model export review.,Required when the source hydrodynamic model contains controlled infrastructure.
P0,valid_domain_mask,Blocks reliable masking of nodata/outside-domain cells.,Source model computational domain or repository/domain masks,Inspect downloaded UrbanFlood24 full files first; request equivalent ICM/MIKE+ export if absent.,Nodata values are not a substitute for explicit mask semantics.
P0,boundary_mask,Blocks boundary-aware residual handling and boundary mass-balance accounting.,Source boundary elements or derived boundary mask with documented method,Inspect downloaded UrbanFlood24 full files first; request equivalent ICM/MIKE+ export if absent.,Boundary mask and boundary values are both required for future residual feasibility review.
P0,coordinate_reference_or_grid_metadata,Blocks defensible spatial alignment and physical derivative interpretation.,Source GIS/projection/mesh metadata,Inspect downloaded UrbanFlood24 full files first; request equivalent ICM/MIKE+ export if absent.,Array dimensions alone do not prove physical alignment.
P0,units_and_scaling,Blocks physical interpretation and any residual or conservation-style claim.,"Source result metadata, README, or data dictionary",Inspect downloaded UrbanFlood24 full files first; request equivalent ICM/MIKE+ export if absent.,Every dynamic and static field must have unit and scaling evidence.
P1,scenario_metadata,Blocks reproducibility and can mix incompatible event fields.,Source run/scenario metadata,Request or document during external model export review.,Needed to prevent accidental cross-scenario alignment.
P0,time_axis_metadata,Blocks temporal derivatives and dynamic forcing alignment.,Source result timestamps and dataset sequence metadata,Inspect downloaded UrbanFlood24 full files first; request equivalent ICM/MIKE+ export if absent.,"Must document irregular intervals, missing timesteps, spin-up, and warm-up handling."
